FLG	Index		Set by
0	0	0x0	
1	1	0x1	Demo(1)
2	2	0x2	
3	3	0x3	
4	4	0x4	
5	5	0x5	
6	6	0x6	
8	7	0x7	
12	8	0x8	
7	9	0x9	
13	10	0xA	
14	11	0xB	
15	12	0xC	
9	13	0xD	
16	14	0xE	
17	15	0xF	
18	16	0x10	
10	17	0x11	
19	18	0x12	
21	19	0x13	
23	20	0x14	
11	21	0x15	
25	22	0x16	
27	23	0x17	
28	24	0x18	
20	25	0x19	
29	26	0x1A	
30	27	0x1B	
31	28	0x1C	
22	29	0x1D	
32	30	0x1E	
33	31	0x1F	
34	32	0x20	
24	33	0x21	
35	34	0x22	
36	35	0x23	
37	36	0x24	
26	37	0x25	
38	38	0x26	
39	39	0x27	
40	40	0x28	
55	41	0x29	
41	42	0x2A	
42	43	0x2B	
43	44	0x2C	
57	45	0x2D	
44	46	0x2E	
45	47	0x2F	
46	48	0x30	
84	49	0x31	
47	50	0x32	
48	51	0x33	
49	52	0x34	
104	53	0x35	
50	54	0x36	
51	55	0x37	
52	56	0x38	
105	57	0x39	
53	58	0x3A	
54	59	0x3B	
56	60	0x3C	
106	61	0x3D	
58	62	0x3E	
59	63	0x3F	
60	64	0x40	
107	65	0x41	
61	66	0x42	
62	67	0x43	
63	68	0x44	
108	69	0x45	
64	70	0x46	
65	71	0x47	
66	72	0x48	
109	73	0x49	
67	74	0x4A	
68	75	0x4B	
69	76	0x4C	
110	77	0x4D	Demo(2)
70	78	0x4E	
71	79	0x4F	
72	80	0x50	
112	81	0x51	
73	82	0x52	
74	83	0x53	
75	84	0x54	
210	85	0x55	
76	86	0x56	
77	87	0x57	
78	88	0x58	
211	89	0x59	
79	90	0x5A	
80	91	0x5B	
81	92	0x5C	
222	93	0x5D	
82	94	0x5E	
83	95	0x5F	
85	96	0x60	
223	97	0x61	
86	98	0x62	
87	99	0x63	
88	100	0x64	
224	101	0x65	
89	102	0x66	
90	103	0x67	
91	104	0x68	
225	105	0x69	
92	106	0x6A	
93	107	0x6B	
94	108	0x6C	
227	109	0x6D	
95	110	0x6E	
96	111	0x6F	
97	112	0x70	
228	113	0x71	
98	114	0x72	
99	115	0x73	
100	116	0x74	
229	117	0x75	
101	118	0x76	
102	119	0x77	
103	120	0x78	
230	121	0x79	
111	122	0x7A	
113	123	0x7B	
114	124	0x7C	
231	125	0x7D	
115	126	0x7E	
116	127	0x7F	
117	128	0x80	
232	129	0x81	
118	130	0x82	
119	131	0x83	
120	132	0x84	
234	133	0x85	
121	134	0x86	
122	135	0x87	
123	136	0x88	
238	137	0x89	
124	138	0x8A	
125	139	0x8B	
126	140	0x8C	
239	141	0x8D	
127	142	0x8E	
128	143	0x8F	
129	144	0x90	
240	145	0x91	
130	146	0x92	
131	147	0x93	
132	148	0x94	
242	149	0x95	
133	150	0x96	
134	151	0x97	
135	152	0x98	
243	153	0x99	
136	154	0x9A	
137	155	0x9B	
138	156	0x9C	
241	157	0x9D	
139	158	0x9E	
140	159	0x9F	
141	160	0xA0	
244	161	0xA1	
142	162	0xA2	
143	163	0xA3	
144	164	0xA4	
248	165	0xA5	Flow(East/Medium_battle_before)
145	166	0xA6	
146	167	0xA7	
147	168	0xA8	
249	169	0xA9	
148	170	0xAA	
149	171	0xAB	
150	172	0xAC	
250	173	0xAD	Demo(3)
151	174	0xAE	
152	175	0xAF	
153	176	0xB0	
251	177	0xB1	Flow(East/Medium_battle_after)
154	178	0xB2	
155	179	0xB3	
156	180	0xB4	
246	181	0xB5	
157	182	0xB6	
158	183	0xB7	
159	184	0xB8	
308	185	0xB9	
160	186	0xBA	
161	187	0xBB	
162	188	0xBC	
309	189	0xBD	
163	190	0xBE	
164	191	0xBF	
165	192	0xC0	
310	193	0xC1	
166	194	0xC2	
167	195	0xC3	
168	196	0xC4	
320	197	0xC5	
169	198	0xC6	
170	199	0xC7	
171	200	0xC8	
321	201	0xC9	
172	202	0xCA	
173	203	0xCB	
174	204	0xCC	
322	205	0xCD	
175	206	0xCE	
176	207	0xCF	
177	208	0xD0	
323	209	0xD1	
178	210	0xD2	
179	211	0xD3	
180	212	0xD4	
324	213	0xD5	
181	214	0xD6	
182	215	0xD7	
183	216	0xD8	
325	217	0xD9	
184	218	0xDA	
185	219	0xDB	
186	220	0xDC	
233	221	0xDD	
187	222	0xDE	
188	223	0xDF	
189	224	0xE0	
315	225	0xE1	Stage(IndoorLight1 [26] "NpcRentalShopOpen")
190	226	0xE2	
191	227	0xE3	
192	228	0xE4	
235	229	0xE5	Flow(FieldLight_2C_RentalItem/RentalItem_Rental)
193	230	0xE6	
194	231	0xE7	
195	232	0xE8	
236	233	0xE9	
196	234	0xEA	
197	235	0xEB	
198	236	0xEC	
330	237	0xED	
199	238	0xEE	
200	239	0xEF	
201	240	0xF0	
340	241	0xF1	
202	242	0xF2	
203	243	0xF3	
204	244	0xF4	
341	245	0xF5	
205	246	0xF6	
206	247	0xF7	
207	248	0xF8	
342	249	0xF9	
208	250	0xFA	
209	251	0xFB	
212	252	0xFC	
374	253	0xFD	
213	254	0xFE	
214	255	0xFF	
215	256	0x100	
343	257	0x101	
216	258	0x102	
217	259	0x103	
218	260	0x104	
344	261	0x105	
219	262	0x106	
220	263	0x107	
221	264	0x108	
345	265	0x109	
226	266	0x10A	
237	267	0x10B	
245	268	0x10C	
348	269	0x10D	
247	270	0x10E	
252	271	0x10F	
253	272	0x110	
350	273	0x111	
254	274	0x112	
255	275	0x113	
256	276	0x114	
360	277	0x115	
257	278	0x116	
258	279	0x117	
259	280	0x118	
370	281	0x119	
261	282	0x11A	
262	283	0x11B	
263	284	0x11C	
371	285	0x11D	
264	286	0x11E	
265	287	0x11F	
266	288	0x120	
372	289	0x121	
267	290	0x122	
268	291	0x123	
269	292	0x124	
373	293	0x125	
270	294	0x126	
271	295	0x127	
272	296	0x128	
375	297	0x129	
273	298	0x12A	
274	299	0x12B	
275	300	0x12C	
260	301	0x12D	
276	302	0x12E	
277	303	0x12F	
278	304	0x130	
376	305	0x131	
279	306	0x132	
280	307	0x133	
281	308	0x134	
377	309	0x135	
282	310	0x136	
283	311	0x137	
284	312	0x138	
380	313	0x139	
285	314	0x13A	
286	315	0x13B	
287	316	0x13C	
381	317	0x13D	
288	318	0x13E	
289	319	0x13F	
290	320	0x140	
382	321	0x141	
291	322	0x142	
292	323	0x143	
293	324	0x144	
383	325	0x145	
294	326	0x146	
295	327	0x147	
296	328	0x148	
384	329	0x149	
297	330	0x14A	
298	331	0x14B	
299	332	0x14C	
385	333	0x14D	
300	334	0x14E	
301	335	0x14F	
302	336	0x150	
386	337	0x151	
303	338	0x152	
304	339	0x153	
305	340	0x154	
387	341	0x155	
306	342	0x156	
307	343	0x157	
311	344	0x158	
388	345	0x159	
312	346	0x15A	
313	347	0x15B	
314	348	0x15C	
389	349	0x15D	
316	350	0x15E	
317	351	0x15F	
318	352	0x160	
390	353	0x161	
319	354	0x162	
326	355	0x163	
327	356	0x164	
391	357	0x165	
328	358	0x166	
329	359	0x167	
331	360	0x168	
396	361	0x169	
332	362	0x16A	
333	363	0x16B	
334	364	0x16C	
410	365	0x16D	
335	366	0x16E	
336	367	0x16F	
337	368	0x170	
415	369	0x171	
338	370	0x172	
339	371	0x173	
346	372	0x174	
420	373	0x175	Flow(Castle/Medium_battle2_after)
347	374	0x176	
349	375	0x177	
351	376	0x178	
421	377	0x179	Flow(Castle/Medium_battle2_after)
352	378	0x17A	
353	379	0x17B	
354	380	0x17C	
